AGS;car_density;ecar_share;publictransport_meandist;population;green_voteshare;afd_voteshare
09775;6227;1.8;3533;180425;129;11
09776;6401;2.2;5541;83393;166;71
09777;6506;2.3;9448;145378;127;85
09778;6771;1.8;14636;150068;97;118
09779;6834;1.9;14485;137137;101;96
09780;6527;2.1;6527;158942;139;77
10041;5832;1.7;2049;330848;0;97
10042;696;1.6;4034;104425;0;97
10043;6595;1.6;2379;132283;0;113
10044;6864;1.6;301;195749;0;102
10045;6929;1.9;2332;142419;0;107
10046;7174;2.9;2984;86942;0;87
11000;3307;2;2115;3755251;224;84
12051;4765;1.5;2389;73609;96;158
12052;493;1;2281;99515;74;203
12053;4871;0.8;219;58230;78;183
12054;4174;1.8;2289;185750;214;92
12060;5675;1.6;4891;191849;9;174
12061;5996;1.5;5749;178967;86;181
12062;6288;0.7;8833;100902;42;246
12063;568;1.9;4427;169334;103;163
12064;5974;1.3;7074;200292;75;192
12065;5781;1.7;5181;218551;96;17
12066;6055;0.7;641;108263;42;251
12067;5953;1.2;7501;182401;69;207
12068;5911;0.9;8481;99871;71;182
12069;5903;2;5201;222570;127;131
12070;6113;0.8;10897;76045;52;192
12071;6318;0.8;6756;112493;4;274
12072;6007;1.6;6753;176648;85;171
12073;582;0.9;9628;117845;54;212
13003;4147;1.3;2295;209920;146;114
13004;4534;1.2;2198;98596;111;137
13071;5649;0.7;14816;259568;52;207
13072;5816;1.2;11126;220807;67;18
13073;5533;1;9554;227683;66;203
13074;5735;1.2;9959;160288;86;16
13075;5363;0.9;12341;237355;74;22
13076;6042;0.8;14762;214161;53;179
14511;5085;1.4;2187;248563;91;216
14521;6175;0.9;4084;328850;35;302
14522;5992;0.9;4829;300639;46;294
14523;6161;1;6218;222666;46;251
14524;5994;1.2;3648;310838;49;253
14612;4119;1.3;2088;563311;168;176
14625;6115;0.9;3827;297711;43;314
14626;5756;0.7;5427;249681;49;325
14627;5785;1;3516;241343;6;298
14628;5883;1;3651;246204;53;319
14713;3803;1.5;2218;616093;185;133
14729;5979;1.2;3558;260429;59;24
14730;587;1;4762;199824;46;272
15001;5272;1.1;2285;79655;73;175
15002;3955;1.2;2097;242083;149;138
15003;4689;1.3;2426;239364;119;14
15081;6176;1.1;14555;82457;56;177
15082;591;0.8;7022;157235;42;221
15083;6239;1;8873;171393;48;207
15084;5782;0.8;567;177212;4;25
15085;5898;1.2;3678;210381;57;178
15086;604;1;6327;90256;53;191
15087;6046;0.9;4958;132034;3;24
15088;6274;0.9;401;183974;46;236
15089;5657;0.8;5301;186420;4;217
15090;5793;0.9;15634;110291;53;202
15091;6108;0.8;10236;123888;48;199
16051;4607;1.6;2434;214969;125;165
16052;4915;1.2;2599;93634;53;272
16053;408;1.6;2558;111191;192;117
16054;5434;1.3;2826;37009;5;225
16055;4676;1.7;1784;65620;165;143
16061;6087;1.5;7884;100091;54;197
16062;5762;0.9;392;82444;51;22
16063;5979;1.1;4076;159539;5;243
16064;559;1.3;4487;102256;45;247
16065;6015;0.9;5664;73690;32;269
16066;6161;1;6285;123939;46;255
16067;5686;1.1;3416;134941;51;258
16068;5838;1;6563;69646;41;27
16069;6336;1;12086;61926;34;288
16070;5534;1.5;4184;106776;66;262
16071;5867;1.2;7111;83179;54;248
16072;6125;0.9;5683;56922;41;28
16073;5947;1;5054;101494;43;295
16074;598;1.2;6777;83234;55;245
16075;6374;0.8;10571;79178;37;304
16076;6242;0.9;6859;96381;41;277
16077;5795;0.8;5743;88787;39;295
